signature_idoriginal/c63c9bdd-007671d1.png,timestamp,label,path,type
c63c9bdd,2018-03-28 12:45:05+08:00,,original/c63c9bdd-.png,genuine
007671d1,2018-03-28 12:45:23+08:00,,original/007671d1-.png,genuine
c3fe51c2,2018-03-28 15:17:36+08:00,,original/c3fe51c2-.png,genuine
fff138a5,2018-04-03 13:54:36.838000+08:00,,original/fff138a5-.png,genuine
eba21570,2018-04-03 13:54:43.193000+08:00,,original/eba21570-.png,genuine
3ab0b170,2018-04-03 13:54:48.489000+08:00,,original/3ab0b170-.png,genuine
3a1bf0be,2018-04-03 13:54:52.020000+08:00,,original/3a1bf0be-.png,genuine
7415e9be,2018-04-03 13:54:55.137000+08:00,,original/7415e9be-.png,genuine
a8bbf04b,2018-04-03 13:54:58.641000+08:00,,original/a8bbf04b-.png,genuine
b8d4285b,2018-04-03 13:55:02.098000+08:00,,original/b8d4285b-.png,genuine
814917b6,2018-04-03 13:55:06.100000+08:00,,original/814917b6-.png,genuine
b3dbde7d,2018-04-03 13:55:09.394000+08:00,,original/b3dbde7d-.png,genuine
3e6fc38d,2018-04-03 13:55:12.492000+08:00,,original/3e6fc38d-.png,genuine
1c14939d,2018-04-03 13:55:16.064000+08:00,,original/1c14939d-.png,genuine
ca82c573,2018-04-03 13:55:28.593000+08:00,,original/ca82c573-.png,genuine
f12eb647,2018-04-03 13:55:32.565000+08:00,,original/f12eb647-.png,genuine
ca636acc,2018-04-03 13:55:35.615000+08:00,,original/ca636acc-.png,genuine
f7fe9358,2018-04-03 13:55:38.499000+08:00,,original/f7fe9358-.png,genuine
578fc5d8,2018-04-03 13:55:41.580000+08:00,,original/578fc5d8-.png,genuine
09409f9a,2018-04-03 13:55:44.347000+08:00,,original/09409f9a-.png,genuine
314fe72e,2018-04-03 13:55:46.900000+08:00,,original/314fe72e-.png,genuine
d4a8ba21,2018-04-03 13:55:49.827000+08:00,,original/d4a8ba21-.png,genuine
b54cd2a2,2018-04-03 13:55:52.853000+08:00,,original/b54cd2a2-.png,genuine
db2fb44c,2018-04-03 13:55:55.947000+08:00,,original/db2fb44c-.png,genuine
9bb1ebb4,2018-04-03 13:55:58.868000+08:00,,original/9bb1ebb4-.png,genuine
48644bdf,2018-04-03 13:56:20.776000+08:00,,original/48644bdf-.png,genuine
a75f140b,2018-04-03 13:56:23.414000+08:00,,original/a75f140b-.png,genuine
e048f762,2018-04-03 13:56:26.004000+08:00,,original/e048f762-.png,genuine
a503024b,2018-04-03 13:56:28.479000+08:00,,original/a503024b-.png,genuine
b6657e84,2018-04-03 13:56:31.324000+08:00,,original/b6657e84-.png,genuine
0a00c28c,2018-04-03 13:56:34.041000+08:00,,original/0a00c28c-.png,genuine
9ea93443,2018-04-03 13:56:36.914000+08:00,,original/9ea93443-.png,genuine
61f5a9c4,2018-04-03 13:56:39.504000+08:00,,original/61f5a9c4-.png,genuine
aa706553,2018-04-03 13:56:45.213000+08:00,,original/aa706553-.png,genuine
d1cee313,2018-04-03 13:56:48.163000+08:00,,original/d1cee313-.png,genuine
33234f10,2018-04-03 13:56:50.843000+08:00,,original/33234f10-.png,genuine
32ba445e,2018-04-03 13:58:21.211000+08:00,,original/32ba445e-.png,genuine
c2ab7e7f,2018-04-03 13:58:27.955000+08:00,,original/c2ab7e7f-.png,genuine
36174ef1,2018-04-03 13:58:30.886000+08:00,,original/36174ef1-.png,genuine
ae719027,2018-04-03 13:58:33.409000+08:00,,original/ae719027-.png,genuine
ec2a4279,2018-04-03 13:58:35.785000+08:00,,original/ec2a4279-.png,genuine
52ac219e,2018-04-03 13:58:38.376000+08:00,,original/52ac219e-.png,genuine
2367f5a0,2018-04-03 13:58:40.909000+08:00,,original/2367f5a0-.png,genuine
7dd937df,2018-04-03 13:58:43.614000+08:00,,original/7dd937df-.png,genuine
1af1da6e,2018-04-03 13:58:46.372000+08:00,,original/1af1da6e-.png,genuine
7ae21941,2018-04-03 13:58:48.955000+08:00,,original/7ae21941-.png,genuine
947fd22a,2018-04-03 13:58:51.712000+08:00,,original/947fd22a-.png,genuine
0a4cd0ee,2018-04-03 13:58:54.173000+08:00,,original/0a4cd0ee-.png,genuine
59c3d8dd,2018-04-03 13:58:56.679000+08:00,,original/59c3d8dd-.png,genuine
1ccf499c,2018-04-03 13:58:59.196000+08:00,,original/1ccf499c-.png,genuine
6.83E+10,2018-04-03 13:59:01.982000+08:00,,original/683199e5-.png,genuine
0eee60c4,2018-04-03 13:59:04.833000+08:00,,original/0eee60c4-.png,genuine
5b4cdb56,2018-04-03 13:59:07.677000+08:00,,original/5b4cdb56-.png,genuine
6d7cccca,2018-04-03 13:59:10.082000+08:00,,original/6d7cccca-.png,genuine
2bc56d36,2018-04-03 13:59:12.426000+08:00,,original/2bc56d36-.png,genuine
a386487c,2018-04-03 13:59:15.022000+08:00,,original/a386487c-.png,genuine
d7b31780,2018-04-03 13:59:17.408000+08:00,,original/d7b31780-.png,genuine
7a0032f7,2018-04-03 13:59:19.893000+08:00,,original/7a0032f7-.png,genuine
4b145b21,2018-04-03 13:59:22.617000+08:00,,original/4b145b21-.png,genuine
79e603f0,2018-04-03 13:59:25.269000+08:00,,original/79e603f0-.png,genuine
e6548f49,2018-04-03 13:59:27.762000+08:00,,original/e6548f49-.png,genuine
e7756f1d,2018-04-03 13:59:30.479000+08:00,,original/e7756f1d-.png,genuine
37c09a5b,2018-04-03 13:59:33.252000+08:00,,original/37c09a5b-.png,genuine
39fa98d1,2018-04-03 13:59:35.710000+08:00,,original/39fa98d1-.png,genuine
3a0a3c42,2018-04-03 13:59:38.085000+08:00,,original/3a0a3c42-.png,genuine
cc9dd386,2018-04-03 13:59:40.479000+08:00,,original/cc9dd386-.png,genuine
e8a6de0c,2018-04-03 13:59:43.137000+08:00,,original/e8a6de0c-.png,genuine
18f27201,2018-04-03 13:59:45.421000+08:00,,original/18f27201-.png,genuine
c907600d,2018-04-03 13:59:47.649000+08:00,,original/c907600d-.png,genuine
8d927208,2018-04-03 13:59:49.755000+08:00,,original/8d927208-.png,genuine
5b799fa6,2018-04-03 13:59:52.605000+08:00,,original/5b799fa6-.png,genuine
0ff95711,2018-04-03 13:59:55.273000+08:00,,original/0ff95711-.png,genuine
559166dc,2018-04-03 13:59:57.692000+08:00,,original/559166dc-.png,genuine
4d0815d9,2018-04-03 14:00:00.315000+08:00,,original/4d0815d9-.png,genuine
42c6fc22,2018-04-03 14:00:02.985000+08:00,,original/42c6fc22-.png,genuine
971a4add,2018-04-03 14:00:05.860000+08:00,,original/971a4add-.png,genuine
f24d2fd0,2018-04-03 14:00:08.460000+08:00,,original/f24d2fd0-.png,genuine
